"","X","Doses","dose1","dose2","dose3","E40","c0.1","c11.99","c12.01","c23.99","c24.1","c35.99","c36.1","c47.99","c48.1","c59.99","c60.1","c71.99","c72.1","flagged","B=b1d1+b2d2+b3d3"
"222",222,"5,4.9,4.1",5,4.9,4.1,0.999,14.0269,5.3919,5.3606,2.4112,16.1211,5.0425,5.0069,1.9592,13.4214,3.6243,3.5958,1.2932,1.2835,1,1.31695057823052
"223",223,"4.1,3.9,0",4.1,3.9,0,0.7284,11.502,4.4214,4.3957,1.9772,12.8888,4.0379,4.0094,1.5695,1.5584,0.6105,0.6063,0.2559,0.2543,0,1.06937294589432
"224",224,"4.6,4.1,3.2",4.6,4.1,3.2,0.9528,12.9047,4.9606,4.9317,2.2183,13.6886,4.304,4.2736,1.6745,10.6196,2.8871,2.8644,1.0353,1.0276,1,1.20462044699488
"225",225,"5,4.1,3.9",5,4.1,3.9,0.9908,14.0269,5.3919,5.3606,2.4112,13.8802,4.3853,4.3544,1.7083,12.6126,3.3908,3.3641,1.2095,1.2004,1,1.30572918893023
"226",226,"5.2,4.8,4.1",5.2,4.8,4.1,0.9994,14.5879,5.6076,5.575,2.5076,15.9368,5.0011,4.9658,1.9447,13.4071,3.6201,3.5915,1.2926,1.2828,1,1.3652371003419
"227",227,"4.8,4.1,3",4.8,4.1,3,0.9784,13.4658,5.1762,5.1462,2.3147,13.7844,4.3446,4.314,1.6914,10.0766,2.7549,2.7333,0.9917,0.9843,1,1.25371067532696
"228",228,"4.1,4.1,0",4.1,4.1,0,0.7622,11.502,4.4214,4.3957,1.9772,13.4489,4.2022,4.1725,1.6322,1.6206,0.634,0.6296,0.2649,0.2633,0,1.07204518934343
"229",229,"4.6,4.1,3.8",4.6,4.1,3.8,0.9535,12.9047,4.9606,4.9317,2.2183,13.6886,4.304,4.2736,1.6745,12.2991,3.3061,3.28,1.178,1.1691,1,1.20621769350643
"230",230,"5.3,4.1,3.8",5.3,4.1,3.8,0.9973,14.8685,5.7154,5.6822,2.5558,14.024,4.4464,4.4151,1.7337,12.3579,3.3322,3.306,1.1916,1.1826,1,1.3798969469322
"231",231,"4.1,3.9,0",4.1,3.9,0,0.7284,11.502,4.4214,4.3957,1.9772,12.8888,4.0379,4.0094,1.5695,1.5584,0.6105,0.6063,0.2559,0.2543,0,1.06937294589432
"232",232,"4.1,4.1,3",4.1,4.1,3,0.7625,11.502,4.4214,4.3957,1.9772,13.4489,4.2022,4.1725,1.6322,10.0178,2.7288,2.7074,0.9781,0.9707,0,1.08003142190119
"233",233,"4.4,4.1,3.5",4.4,4.1,3.5,0.9035,12.3436,4.7449,4.7173,2.1218,13.5927,4.2633,4.2332,1.6576,11.4426,3.0891,3.0648,1.1028,1.0945,1,1.15579642641472
"234",234,"4.5,4.1,4",4.5,4.1,4,0.9331,12.6242,4.8527,4.8245,2.1701,13.6406,4.2836,4.2534,1.6661,12.8505,3.442,3.4148,1.2236,1.2143,1,1.18193878709231
"235",235,"4.1,3.8,3.7",4.1,3.8,3.7,0.7149,11.502,4.4214,4.3957,1.9772,12.6087,3.9558,3.9279,1.5382,11.8838,3.1824,3.1572,1.1309,1.1224,0,1.077886510991
"236",236,"4.1,3.8,3.7",4.1,3.8,3.7,0.7149,11.502,4.4214,4.3957,1.9772,12.6087,3.9558,3.9279,1.5382,11.8838,3.1824,3.1572,1.1309,1.1224,0,1.077886510991
"237",237,"4.1,3.5,0",4.1,3.5,0,0.6842,11.502,4.4214,4.3957,1.9772,11.7683,3.7093,3.6832,1.4441,1.4339,0.5636,0.5597,0.2378,0.2364,0,1.0640284589961
"238",238,"4.1,3.5,3.1",4.1,3.5,3.1,0.6842,11.502,4.4214,4.3957,1.9772,11.7683,3.7093,3.6832,1.4441,10.111,2.7282,2.7068,0.9748,0.9674,0,1.07228089930578
"239",239,"4.1,3.3,0",4.1,3.3,0,0.6717,11.502,4.4214,4.3957,1.9772,11.2081,3.545,3.5201,1.3814,1.3716,0.5401,0.5364,0.2288,0.2274,0,1.06135621554699
"240",240,"5,4.6,4.1",5,4.6,4.1,0.9975,14.0269,5.3919,5.3606,2.4112,15.2808,4.7961,4.7622,1.8651,13.328,3.5891,3.5608,1.2797,1.27,1,1.31294221305685
"241",241,"4.2,3.9,3.7",4.2,3.9,3.7,0.7857,11.7826,4.5292,4.5029,2.0254,12.9367,4.0583,4.0296,1.578,11.9233,3.1978,3.1726,1.1374,1.1288,1,1.10403395463352
"242",242,"5.2,4.2,0",5.2,4.2,0,0.9967,14.5879,5.6076,5.575,2.5076,14.2562,4.5082,4.4764,1.7566,1.7441,0.6868,0.6821,0.2908,0.2891,1,1.34630585216564
"243",243,"4.2,4,0",4.2,4,0,0.8011,11.7826,4.5292,4.5029,2.0254,13.2167,4.1404,4.1112,1.6093,1.5979,0.626,0.6217,0.2623,0.2608,0,1.09552038953685
"244",244,"4.2,4,3.6",4.2,4,3.6,0.8018,11.7826,4.5292,4.5029,2.0254,13.2167,4.1404,4.1112,1.6093,11.6745,3.1397,3.115,1.1181,1.1097,1,1.10510386860615
"245",245,"4.4,4.2,3.4",4.4,4.2,3.4,0.9166,12.3436,4.7449,4.7173,2.1218,13.8728,4.3454,4.3147,1.689,11.1938,3.031,3.0072,1.0835,1.0754,1,1.15686634038735
"246",246,"5.2,4.2,0",5.2,4.2,0,0.9967,14.5879,5.6076,5.575,2.5076,14.2562,4.5082,4.4764,1.7566,1.7441,0.6868,0.6821,0.2908,0.2891,1,1.34630585216564
"247",247,"4.5,4.2,4.1",4.5,4.2,4.1,0.9442,12.6242,4.8527,4.8245,2.1701,13.9207,4.3657,4.3349,1.6974,13.1615,3.5235,3.4957,1.2519,1.2424,1,1.18354111656879
"248",248,"5,4.2,3.1",5,4.2,3.1,0.9923,14.0269,5.3919,5.3606,2.4112,14.1604,4.4675,4.436,1.7397,10.4045,2.844,2.8217,1.0239,1.0162,1,1.30493564863938
"249",249,"4.6,4.2,3.4",4.6,4.2,3.4,0.9608,12.9047,4.9606,4.9317,2.2183,13.9687,4.3861,4.3552,1.7059,11.2106,3.0385,3.0146,1.0874,1.0792,1,1.20648898422328
"250",250,"4.2,0,0",4.2,0,0,0.6959,11.7826,4.5292,4.5029,2.0254,2.0127,0.8545,0.8489,0.355,0.3527,0.1568,0.1559,0.0817,0.0813,0,1.04207552055465
